# D2 Prefixy (z Diablo Archive fandom, formát: Affix | Attributes | Item Type(lvl))
# Barva: #FFFF00 = rare, #4850B8 = magic
# lvl = minimální ilvl, na kterém affix může padnout
# Zpracováno 2026-08-20, pokračovat v nové session

## 1. Attack Rating
Bronze | +2-12 AR | Small Charms(1)
Bronze | +10-20 AR | Amulets(1) Circlets(1) Gloves(1) Rings(1) Weapons(1)
Bronze | +4-25 AR | Large Charms(1)
Bronze | +6-42 AR | Grand Charms(1)
Iron | +13-24 AR | Small Charms(39)
Iron | +21-40 AR | Circlets(4) Rings(4) Weapons(4)
Iron | +39-51 AR | Large Charms(25)
Iron | +43-87 AR | Grand Charms(19)
Steel | +25-36 AR | Small Charms(57)
Steel | +41-60 AR | Circlets(8) Rings(8) Weapons(8)
Steel | +52-77 AR | Large Charms(43)
Steel | +88-132 AR | Grand Charms(37)
Silver | +41-60 AR | Jewels(25)
Silver | +61-80 AR | Circlets(12) Rings(12) Weapons(12)
Gold | +81-100 AR | Circlets(17) Rings(17) Weapons(17)
Platinum | +101-120 AR | Circlets(22) Rings(22) Weapons(22)
Meteoric | +121-150 AR | Weapons(27)
Strange | +151-300 AR | Weapons(32)
Weird | +301-450 AR | Weapons(37)
Tin | +21-40 AR | Jewels(8)
Argent | +61-100 AR | Jewels(44)
Hawkeye | +1.5/lvl (6-594 AR) | Weapons(35)
Visionary | +1/lvl (1-99% AR) | Helms(25) Missile Weapons(25)

## 2. AR + Enhanced Damage
Sharp | +10-20 AR; 10-20% ED | Weapons(5)
Sharp | +21-48 AR; +4-6 Max Dmg | Large Charms(28)
Sharp | +49-76 AR; +7-10 Max Dmg | Grand Charms(29)
Fine | +10-20 AR; +1-3 Max Dmg | Large Charms(19), Small Charms(28)
Fine | +21-40 AR; 21-30% ED | Weapons(12)
Fine | +10-48 AR; +1-6 Max Dmg | Grand Charms(15,22)
Warrior's | +41-60 AR; 31-40% ED | Weapons(19)
Soldier's | +61-80 AR; 41-50% ED | Weapons(27)
Knight's | +81-100 AR; 51-65% ED | Weapons(38)
Lord's | +101-120 AR; 66-80% ED | Weapons(47)
King's | +121-150 AR; 81-100% ED | Weapons(56)
Master's | +151-250 AR; 101-150% ED | Weapons(56)
Grandmaster's | +251-300 AR; 151-200% ED | Weapons(69)
Fool's | +16.5/lvl AR; +0.5/lvl Max Dmg | Weapons(50)

## 3. Vs. Demons
Lunar | +25-50 AR vs Demons; 10-25% ED vs Demons | Circlets(3) Weapons(3)
Diamond | +25-50 AR vs Demons; 25-40% ED vs Demons | Jewels(26)
Arcadian | +51-100 AR vs Demons; 26-50% ED vs Demons | Circlets(15) Weapons(15)
Unearthly | +101-150 AR vs Demons; 51-100% ED vs Demons | Weapons(25)
Astral | +151-200 AR vs Demons; 101-150% ED vs Demons | Weapons(35)
Elysian | +201-300 AR vs Demons; 151-200% ED vs Demons | Weapons(45)
Celestial | +301-400 AR vs Demons; 201-300% ED vs Demons | Weapons(55)

## 4. Vs. Undead
Pearl | +25-50 AR vs Undead; 25-50% ED vs Undead | Jewels(18)
Consecrated | +25-75 AR vs Undead; 25-75% ED vs Undead | Weapons(1)
Pure | +76-175 AR vs Undead; 76-125% ED vs Undead | Weapons(15)
Sacred | +175-250 AR vs Undead; 126-200% ED vs Undead | Weapons(25)
Hallowed | +251-325 AR vs Undead; 201-275% ED vs Undead | Weapons(35)
Divine | +326-450 AR vs Undead; 276-350% ED vs Undead | Weapons(45)

## 5. Enhanced Defense
Sturdy | 10-30% ED | Armor(1,4)
Strong | 31-40% ED | Armor(9)
Glorious | 41-50% ED | Armor(19)
Blessed | 51-65% ED | Armor(25)
Saintly | 66-80% ED | Armor(31)
Holy | 81-100% ED | Armor(36)
Godly | 101-200% ED | Armor(45,50)

## 6. +Defense
Stout | +1-8 Def | Small Charms(1,21)
Stout | +2-12 Def | Large Charms(1,14,20)
Stout | +3-12 Def | Grand Charms(1,7,12)
Burly | +15-20 Def | Small Charms(36)
Burly | +13-30 Def | Grand Charms(17,22,27), Large Charms(26,32)
Stalwart | +20-30 Def | Small Charms(48)
Stalwart | +30-60 Def | Large Charms(38,45)
Stalwart | +33-100 Def | Grand Charms(32,37,42)
Blanched | +5-8 Def | Jewels(1)
Eburine | +9-20 Def | Jewels(16)
Bone | +21-40 Def | Jewels(32)
Ivory | +41-64 Def | Jewels(64)
Faithful | +3/lvl (3-297 Def) | Body Armor(30)
Faithful | +0.5/lvl (0.5-49.5 Def) | Belts(30), Boots(30), Gloves(30), Shields(30)

## 7. +Cold Damage
Snowy | 1 to (2-3) Cold, 1s | Grand Charms(9)
Snowy | (1-2) to (2-4) Cold, 1s | Small Charms(27)
Snowy | (2-3) to (3-5) Cold, 1s | Large Charms(18)
Snowy | (6-9) to (19-30) Cold, 1s | Circlets(25), Weapons(25)
Shivering | (2-4) to (4-8) Cold, 1s | Grand Charms(15)
Shivering | (3-4) to (5-8) Cold, 1s | Small Charms(42)
Shivering | (4-5) to (6-10) Cold, 1s | Large Charms(29)
Shivering | (10-15) to (31-45) Cold, 2s | Weapons(35)
Boreal | (5-7) to (9-14) Cold, 1s | Small Charms(66)
Boreal | (5-7) to (9-15) Cold, 1s | Grand Charms(30)
Boreal | (6-10) to (11-20) Cold, 1s | Large Charms(49)
Boreal | (16-23) to (46-90) Cold, 3s | Weapons(50)
Hibernal | (8-10) to (15-20) Cold, 1s | Small Charms(91)
Hibernal | (8-13) to (16-25) Cold, 1s | Grand Charms(45)
Hibernal | (11-15) to (21-30) Cold, 1s | Large Charms(69)
Hibernal | (24-45) to (91-140) Cold, 4s | Weapons(70)

## 8. +Fire Damage
Ember | 1 to (2-3) Fire | Grand Charms(5), Large Charms(13), Small Charms(21)
Fiery | (16-25) to (31-60) Fire | Circlets(25), Weapons(25)
Smoldering | (2-3) to (4-7) Fire | Grand Charms(15)
Smoldering | (2-3) to (4-10) Fire | Small Charms(40)
Smoldering | (2-3) to (4-12) Fire | Large Charms(27)
Smoldering | (26-50) to (61-90) Fire | Weapons(35)
Smoking | (4-7) to (8-19) Fire | Grand Charms(28)
Smoking | (4-9) to (11-19) Fire | Small Charms(64)
Smoking | (4-9) to (13-27) Fire | Large Charms(47)
Smoking | (51-80) to (91-130) Fire | Weapons(47)
Flaming | (8-18) to (20-36) Fire | Grand Charms(43)
Flaming | (10-19) to (20-29) Fire | Small Charms(89)
Flaming | (10-27) to (28-43) Fire | Large Charms(67)
Flaming | (81-120) to (131-180) Fire | Weapons(61)
Condensing | (121-170) to (181-240) Fire | Weapons(77)

## 9. +Lightning Damage
Static | 1 to (4-5) Lightning | Grand Charms(7)
Static | 1 to (5-9) Lightning | Large Charms(14)
Static | 1 to (6-11) Lightning | Small Charms(23)
Static | 1 to (49-120) Lightning | Circlets(25), Weapons(25)
Glowing | 1 to (6-17) Lightning | Grand Charms(14)
Glowing | 1 to (10-26) Lightning | Large Charms(28)
Glowing | 1 to (12-24) Lightning | Small Charms(41)
Glowing | 1 to (121-180) Lightning | Weapons(34)
Buzzing | 1 to (181-260) Lightning | Weapons(46)
Arcing | 1 to (18-44) Lightning | Grand Charms(29)
Arcing | 1 to (25-43) Lightning | Small Charms(65)
Arcing | 1 to (27-58) Lightning | Large Charms(48)
Arcing | 1 to (261-360) Lightning | Weapons(60)
Shocking | 1 to (44-71) Lightning | Small Charms(90)
Shocking | 1 to (45-79) Lightning | Grand Charms(44)
Shocking | 1 to (59-90) Lightning | Large Charms(68)
Shocking | 1 to (361-480) Lightning | Weapons(76)

## 10. +Poison Damage
Septic | +5 Poison over 3s | Grand Charms(1)
Septic | +6 Poison over 2s | Circlets(1), Weapons(1)
Septic | +10 Poison over 3s | Large Charms(9)
Septic | +15 Poison over 3s | Small Charms(18)
Foul | +12 Poison over 3s | Weapons(10)
Foul | +15 Poison over 4s | Grand Charms(12)
Foul | +30 Poison over 4s | Large Charms(26)
Foul | +50 Poison over 4s | Small Charms(39)
Corrosive | +80 Poison over 4s | Weapons(20)
Toxic | +50 Poison over 6s | Grand Charms(27)
Toxic | +90 Poison over 5s | Large Charms(46)
Toxic | +100 Poison over 5s | Small Charms(63)
Toxic | +150 Poison over 5s | Weapons(35)
Pestilent | +100 Poison over 6s | Grand Charms(42)
Pestilent | +175 Poison over 6s | Large Charms(66), Small Charms(88)
Pestilent | +275 Poison over 6s | Weapons(50)

## 11. +All Resistances
Shimmering | All Res +3-5% | Small Charms(33)
Shimmering | All Res +3-7% | Shields(6), Amulets(8), Circlets(8), Rings(45)
Shimmering | All Res +3-8% | Large Charms(17-33,34)
Shimmering | All Res +5-10% | Jewels(16)
Shimmering | All Res +3-15% | Grand Charms(8-13,14-34,35)
Rainbow | All Res +8-11% | Shields(18), Amulets(21), Circlets(21), Rings(56)
Scintillating | All Res +11-15% | Jewels(34)
Scintillating | All Res +12-15% | Shields(28), Amulets(34), Circlets(34), Rings(67)
Prismatic | All Res +16-20% | Shields(39), Amulets(42), Circlets(42)
Chromatic | All Res +21-30% | Shields(50), Amulets(55), Circlets(55)

## 12. +Cold Resistance
Azure | Cold Res +3-5% | Small Charms(1)
Azure | Cold Res +4-7% | Large Charms(1)
Azure | Cold Res +5-10% | Amulets(1-5), Armor(1-5), Circlets(1-5), Orbs(1-5), Rings(1-5), Weapons(5)
Azure | Cold Res +7-15% | Grand Charms(1)
Lapis | Cold Res +6-7% | Small Charms(14)
Lapis | Cold Res +8-10% | Large Charms(16)
Lapis | Cold Res +11-20% | Amulets(12), Armor(12), Circlets(12), Orbs(12), Rings(12), Weapons(35)
Lapis | Cold Res +16-20% | Grand Charms(10)
Cobalt | Cold Res +8-9% | Small Charms(27)
Cobalt | Cold Res +11-12% | Large Charms(25)
Cobalt | Cold Res +21-25% | Grand Charms(20)
Cobalt | Cold Res +21-30% | Amulets(18), Armor(18), Circlets(18), Orbs(18), Rings(18), Weapons(55)
Sapphire | Cold Res +10-11% | Small Charms(40)
Sapphire | Cold Res +13-15% | Large Charms(35)
Sapphire | Cold Res +16-30% | Jewels(19)
Sapphire | Cold Res +26-30% | Grand Charms(30)
Sapphire | Cold Res +31-40% | Amulets(25), Boots(25), Circlets(25), Orbs(25), Rods(25)
Lapis Lazuli | Cold Res +5-15% | Jewels(2)

## 12b. +Fire Resistance
Crimson | Fire Res +3-5% | Small Charms(1)
Crimson | Fire Res +4-7% | Large Charms(1)
Crimson | Fire Res +5-10% | Amulets(1-5), Armor(1-5), Circlets(1-5), Orbs(1-5), Rings(1-5), Weapons(5)
Crimson | Fire Res +7-15% | Grand Charms(1)
Russet | Fire Res +6-7% | Small Charms(14)
Russet | Fire Res +8-10% | Large Charms(16)
Russet | Fire Res +11-20% | Amulets(12), Armor(12), Circlets(12), Orbs(12), Rings(12), Weapons(35)
Russet | Fire Res +16-20% | Grand Charms(10)
Garnet | Fire Res +8-9% | Small Charms(27)
Garnet | Fire Res +11-12% | Large Charms(25)
Garnet | Fire Res +5-15% | Jewels(2)
Garnet | Fire Res +21-25% | Grand Charms(20)
Garnet | Fire Res +21-30% | Amulets(18), Armor(18), Circlets(18), Orbs(18), Rings(18), Weapons(55)
Ruby | Fire Res +10-11% | Small Charms(40)
Ruby | Fire Res +13-15% | Large Charms(35)
Ruby | Fire Res +16-30% | Jewels(19)
Ruby | Fire Res +26-30% | Grand Charms(30)
Ruby | Fire Res +31-40% | Amulets(25), Boots(25), Circlets(25), Orbs(25), Rods(25)

## 12c. +Lightning Resistance
Tangerine | Lightning Res +3-5% | Small Charms(1)
