# D2 Suffixy (z Diablo Archive fandom, formát: Affix | Attributes | Item Type(lvl))
# Barva: rare = rare+magic, magic = jen magic


Piercing | Ignores Target's Defense | Daggers(25), Katars(25), Rods(25) | [rare]
Bear | Knockback | Melee Weapons(8) | [rare]
Vileness | Prevent Monster Heal | Melee Weapons(9) | [rare]
Apprentice | 10% Faster Cast Rate | Amulets(5), Circlets(5), Orbs(5), Rings(5), Rods(5) | [rare]
Magus | 20% Faster Cast Rate | Circlets(29), Orbs(29), Rods(29) | [rare]
Blocking | 10% Increased Chance of Blocking/15% Faster Block Rate | Shields(1) | [rare]
Deflecting | 20% Increased Chance of Blocking/30% Faster Block Rate | Shields(11) | [rare]
Truth | 7% Faster Hit Recovery | Jewels(44) | [rare]
Balance | 5% Faster Hit Recovery | Small Charms(37) | [magic]
Balance | 8% Faster Hit Recovery | Large Charms(19) | [magic]
Balance | 10% Faster Hit Recovery | Armor(5) | [rare]
Balance | 12% Faster Hit Recovery | Grand Charms(1) | [magic]
Equilibrium | 17% Faster Hit Recovery | Belts(9), Body Armor(9), Shields(9) | [rare]
Stability | 24% Faster Hit Recovery | Belts(18), Body Armor(18) | [rare]
Readiness | 10% Increased Attack Speed | Weapons(5), Gloves(20) | [rare]
Fervor | 15% Increased Attack Speed | Jewels(39) | [magic]
Alacrity | 20% Increased Attack Speed | Weapons(25), Gloves(43) | [rare]
Swiftness | 30% Increased Attack Speed | Melee Weapons(34) | [rare]
Quickness | 40% Increased Attack Speed | Melee Weapons(46) | [rare]
Health | Damage Reduced by 1 | Amulets(7), Body Armor(7), Circlets(7), Rings(7), Shields(7) | [rare]
Protection | Damage Reduced by 2 | Amulets(18), Circlets(18-24), Rings(18), Body Armor(24), Shields(24) | [rare]
Absorption | Damage Reduced by 3 | Amulets(26), Circlets(26-32), Body Armor(32), Shields(32) | [rare]
Life | Damage Reduced by 4-7 | Amulets(35[4]), Circlets(35[4];41[4-7]), Body Armor(41), Shields(41) | [rare]
Amicae | Damage Reduced by 8-15 | Body Armor(51), Circlets(51), Shields(51) | [magic]
Life Everlasting | Damage Reduced by 10-25 | Amulets(45), Circlets(45) | [magic]
Warding | Magic Damage Reduced by 1 | Amulets(7), Body Armor(7), Circlets(7), Orbs(7), Rings(7), Shields(7) | [rare]
Sentinel | Magic Damage Reduced by 2 | Amulets(18), Circlets(18-24), Orbs(18), Rings(18), Body Armor(24), Shields(24) | [rare]
Guarding | Magic Damage Reduced by 3 | Amulets(26), Circlets(26-32), Orbs(26), Body Armor(32), Shields(32) | [rare]
Negation | Magic Damage Reduced by 4-6 | Body Armor(41), Circlets(41-42), Shields(41) Amulets(42), Orbs(42) | [magic]
Thorns | Attacker Takes Damage of 1-3 | Belts(1-13[1];14[1-3]), Body Armor(1-13[1];14[1-3]), Circlets(14), Shields(1-13[1];14[1-3]) | [rare]
Malice | Attacker Takes Damage of 1-5 | Jewels(37) | [rare]
Spikes | Attacker Takes Damage of 4-6 | Belts(21), Body Armor(21), Circlets(21), Shields(21) | [rare]
Razors | Attacker Takes Damage of 7-9 | Body Armor(34), Circlets(34), Shields(34) | [rare]
Swords | Attacker Takes Damage of 10-20 | Body Armor(47), Circlets(47), Shields(47) | [magic]
Ages | Indestructible | Armor(50) Weapons(50) | [magic]
Self-Repair | Repairs 1 Durability Every 33 Seconds | Armor(3), Weapons(3) | [rare]
Restoration | Repairs 1 Durability Every 20 Seconds | Armor(20) Weapons(20) | [rare]
Replenishing | Replenishes 1 Quantity Every 20 Seconds | Throwing Weapons(5) | [rare]
Propagation | Replenishes 1 Quantity Every 10 Seconds | Throwing Weapons(24) | [rare]
Frost | Adds 1 to (1-2) Cold Damage - (1-2) sec Duration | Weapons(1-3[1/1s];4[1-2/2s]) | [rare]
Frost | Adds 1 to 2 Cold Damage - 1 sec Duration | Grand Charms(5), Small Charms(14) | [magic]
Frost | Adds 1 to (2-3) Cold Damage - 1 sec Duration | Large Charms(9) | [magic]
Frost | Adds 1 to (3-6) Cold Damage - 2 sec Duration | Amulets(55), Belts(55) | [rare]
Frigidity | Adds 1 to 5 Cold Damage - 2 sec Duration | Jewels(16) | [rare]
Icicle | Adds 1 to (3-4) Cold Damage - 3 sec Duration | Weapons(13) | [rare]
Icicle | Adds 2 to (3-4) Cold Damage - 1 sec Duration | Grand Charms(8), Small Charms(21) | [magic]
Icicle | Adds 2 to (4-5) Cold Damage - 1 sec Duration | Large Charms(15) | [magic]
Icicle | Adds (2-3) to (6-10) Cold Damage - 2 sec Duration | Jewels(37) | [rare]
Glacier | Adds 3 to (5-6) Cold Damage - 1 sec Duration | Small Charms(33) | [magic]
Glacier | Adds 3 to (5-7) Cold Damage - 1 sec Duration | Grand Charms(15) | [magic]
Glacier | Adds 3 to (6-8) Cold Damage - 1 sec Duration | Large Charms(25) | [magic]
Glacier | Adds (2-4) to (4-15) Cold Damage - 4 sec Duration | Weapons(27) | [rare]
Glacier | Adds (4-5) to (11-15) Cold Damage - 2 sec Duration | Jewels(58) | [magic]
Winter | Adds (4-5) to (7-9) Cold Damage - 1 sec Duration | Small Charms(46) | [magic]
Winter | Adds (4-6) to (8-11) Cold Damage - 1 sec Duration | Grand Charms(23) | [magic]
Winter | Adds (4-6) to (9-12) Cold Damage - 1 sec Duration | Large Charms(35) | [magic]
Winter | Adds (5-9) to (16-50) Cold Damage - 5 sec Duration | Melee Weapons(45) | [rare]
Flame | Adds 1 to 2 Fire Damage | Grand Charms(3), Large Charms(7), Small Charms(11) | [magic]
Flame | Adds 1 to (2-5) Fire Damage | Weapons(1-3[2];4[2-5]) | [rare]
Flame | Adds 1 to (2-6) Fire Damage | Amulets(40), Gloves(40), Rings(40) | [rare]
Passion | Adds (1-3) to (6-10) Fire Damage | Jewels(15) | [rare]
Fire | Adds (1-2) to 3 Fire Damage | Grand Charms(8) | [magic]
Fire | Adds 2 to (3-4) Fire Damage | Small Charms(20) | [magic]
Fire | Adds 2 to (3-5) Fire Damage | Large Charms(14) | [magic]
Fire | Adds (1-4) to (6-11) Fire Damage | Weapons(15) | [rare]
Fire | Adds (4-10) to (11-30) Fire Damage | Jewels(36) | [rare]
Burning | Adds (2-3) to (4-7) Fire Damage | Grand Charms(14) | [magic]
Burning | Adds (3-4) to (5-8) Fire Damage | Small Charms(32) | [magic]
Burning | Adds (3-5) to (6-11) Fire Damage | Large Charms(24) | [magic]
Burning | Adds (5-9) to (10-20) Fire Damage | Weapons(25) | [rare]
Burning | Adds (11-25) to (31-50) Fire Damage | Jewels(57) | [rare]
Incineration | Adds (4-7) to (8-14) Fire Damage | Grand Charms(22) | [magic]
Incineration | Adds (5-7) to (9-13) Fire Damage | Small Charms(45) | [magic]
Incineration | Adds (6-10) to (12-17) Fire Damage | Large Charms(34) | [magic]
Incineration | Adds (10-20) to (21-75) Fire Damage | Melee Weapons(43) | [magic]
Shock | Adds 1 to (2-3) Lightning Damage | Grand Charms(4) | [magic]
Shock | Adds 1 to (3-5) Lightning Damage | Large Charms(7) | [magic]
Shock | Adds 1 to (3-6) Lightning Damage | Small Charms(12) | [magic]
Shock | Adds 1 to (3-8) Lightning Damage | Weapons(1-3[3];4[6-8]) | [rare]
Shock | Adds 1 to (11-23) Lightning Damage | Amulets(50), Boots(50), Rings(50) | [rare]
Ennui | Adds 1 to (10-20) Lightning Damage | Jewels(15) | [rare]
Lightning | Adds 1 to (4-7) Lightning Damage | Grand Charms(7) | [magic]
Lightning | Adds 1 to (7-10) Lightning Damage | Small Charms(21) | [magic]
Lightning | Adds 1 to (6-13) Lightning Damage | Large Charms(14) | [magic]
Lightning | Adds 1 to (9-16) Lightning Damage | Weapons(15) | [rare]
Lightning | Adds 1 to (21-60) Lightning Damage | Jewels(36) | [rare]
Thunder | Adds 1 to (11-18) Lightning Damage | Small Charms(33) | [magic]
Thunder | Adds 1 to (8-21) Lightning Damage | Grand Charms(15) | [magic]
Thunder | Adds 1 to (14-25) Lightning Damage | Large Charms(24) | [magic]
Thunder | Adds 1 to (17-40) Lightning Damage | Weapons(25) | [rare]
Thunder | Adds 1 to (61-100) Lightning Damage | Jewels(57) | [rare]
Storms | Adds 1 to (19-28) Lightning Damage | Small Charms(45) | [magic]
Storms | Adds 1 to (22-33) Lightning Damage | Grand Charms(22) | [magic]
Storms | Adds 1 to (26-38) Lightning Damage | Large Charms(34) | [magic]
Storms | Adds 1 to (41-120) Lightning Damage | Melee Weapons(34) | [rare]
Blight | Adds 6 Poison Damage Over 3 Seconds | Grand Charms(1), Large Charms(5), Small Charms(9) | [magic]
Blight | Adds 7 Poison Damage Over 3 Seconds | Circlets(5), Weapons(1-4[1/2];5[7/3]) | [rare]
Blight | Adds 1-50 Poison Damage Over 3 Seconds | Amulets(45), Rings(45) | [rare]
Envy | Adds 20 Poison Damage Over 2 Seconds | Jewels(1) | [rare]
Venom | Adds 15 Poison Damage Over 4 Seconds | Grand Charms(6), Large Charms(13), Small Charms(20) | [magic]
Venom | Adds 21 Poison Damage Over 4 Seconds | Circlets(15), Weapons(15) | [rare]
Pestilence | Adds 25 Poison Damage Over 5 Seconds | Grand Charms(14), Large Charms(23), Small Charms(32) | [magic]
Pestilence | Adds 50 Poison Damage Over 5 Seconds | Circlets(25), Weapons(25) | [rare]
Anthrax | Adds 50 Poison Damage Over 6 Seconds | Grand Charms(21), Large Charms(33), Small Charms(44) | [magic]
Anthrax | Adds 100 Poison Damage Over 6 Seconds | Weapons(33) | [rare]
Craftsmanship | +1 to Maximum Damage | Grand Charms(1), Large Charms(26), Small Charms(85) | [magic]
Craftsmanship | +1-5 to Maximum Damage | Amulets(1[1]), Rings(1[1]), Weapons(1[1]), Circlets(1-7[1-2];8-14[2-3];15[4-5]) | [rare]
Ire | +2-5 to Maximum Damage | Jewels(4) | [rare]
Quality | +2 to Maximum Damage | Grand Charms(41), Large Charms(56) | [magic]
Quality | +2-8 to Maximum Damage | Weapons(4[2]), Circlets(23-29[6-7];30[7-8]) | [rare]
Wrath | +6-9 to Maximum Damage | Jewels(11) | [rare]
Maiming | +3-4 to Maximum Damage | Grand Charms(71) | [magic]
Maiming | +3-12 to Maximum Damage | Weapons(7[3-4]), Amulets(42[3-4]), Rings(42[3-4]), Shields(42[3-4]), Circlets(37-44[9-10];45[11-12]) | [rare]
Slaying | +5-7 to Maximum Damage | Weapons(11) | [rare]
Gore | +8-10 to Maximum Damage | Weapons(14) | [rare]
Carnage | +11-14 to Maximum Damage | Weapons(19) | [rare]
